Set code,Name,Set symbol
FRF,Fate Reforged,Two mirrored fangs
FUT,Future Sight,an eye gazing through a rift portal
GPT,Guildpact,The seal of the Guildpact
GTC,Gatecrash,Pointed arch (symbolizes the other five guilds which appear in this set)
H09,Premium Deck Series: Slivers,A coiled sliver
HML,Homeland,The globe ofUlgrotha
HOP,Planechase,"Two circular arcs, the lower with three upper spikes"
ICE,Ice Age,A snowflake
INV,Invasion,The symbol of the Coalitio [XII
ISD,Innistrad,Two stylized outward facing heron [96
JOU,Journey into Nyx,Horns of Xenagos and column
JUD,Judgment,A balancing scale
KTK,Khans of Tarkir,Two crossed scimitars in front of a shield
LEA,Limited Edition Alpha,None
LEB,Limited Edition Beta,None
LEG,Legends,The capital of aDoric column
LGN,Legions,Two crossed spears behind a shield
LRW,Lorwyn,"Elvish ""leaf blade"" with a serrated edge"
M10,Magic 2010,"""M10"""
M11,Magic 2011,"""M11"""
M12,Magic 2012,"""M12"""
M13,Magic 2013,"""M13"""
M14,Magic 2014 Core Set,"""M14"""
M15,Magic 2015 Core Set,"""M15"""
MBS,Mirrodin Besieged,Mirran/Phyrexian symbols combined
MD1,Modern Event Deck 2014,Three-pronged object
MIR,Mirage,A palm tree
MM2,Modern Masters 2015 Edition,Split curved X
MMA,Modern Masters,A stylized City of Brass
MMQ,Mercadian Masques,A domino mask
MOR,Morningtide,Sunrise / A flame
MRD,Mirrodin,The Sword of Kaldra
NMS,Nemesis,The spiked halberd wielded by Crovax
NPH,New Phyrexia,"The letter Phi, the symbol of Phyrexia"
ODY,Odyssey,The Mirari on a twisted stand
OGW,Oath of the Gatewatch,Kozilek blade projections
ONS,Onslaught,"A four-legged ""morph [XIII creature"
ORI,Magic Origins,Planeswalker symbol breaking through the horizon
PC2,Planechase 2012 Edition,"Two circular arcs, the upper with three bites removed from bottom"
PCY,Prophecy,Three crystals
PD2,Premium Deck Series: Fire and Lightning,A flame and lightning bolt
PD3,Premium Deck Series: Graveborn,A human skull
PLC,Planar Chaos,"tilted hourglass / merging planes /
stylized letters ""PC"" / Möbius strip"
PLS,Planeshift,A swirling portal
PO2,Portal Second Age,A pentagon
POR,Portal,A portal
PTK,Portal Three Kingdoms,The Chinese character for the number 3
RAV,Ravnica: City of Guilds,A Gothic-style church tower
ROE,Rise of the Eldrazi,A hedron opened
RTR,Return to Ravnica,Symbol of the five guilds in this set (resembles a fountain pen tip)
S00,Starter 2000,None
S99,Starter 1999,A five-pointed star
SCG,Scourge,A dragon mask
SHM,Shadowmoor,Crown of the Reaper King
SOI,Shadows over Innistrad,Avacyn's collar deformed
SOK,Saviors of Kamigawa,A Japanese-style lantern
SOM,Scars of Mirrodin,Encircled hexplate with a smaller hex cut out
STH,Stronghold,A portcullis
THS,Theros,Column and arcs
TMP,Tempest,A storm cloud
TOR,Torment,An ouroboros
TSP,Time Spiral,An hourglass
UDS,Urza's Destiny,An Erlenmeyer flask
UGL,Unglued,A cracked-open egg
ULG,Urza's Legacy,A hammer
UNH,Unhinged,A horseshoe
USG,Urza's Saga,Two gears
V09,From the Vault: Exiled,An arrow firing diagonally leaving a trail
V10,From the Vault: Relics,An orb on a stand
V11,From the Vault: Legends,A crow
V12,From the Vault: Realms,Mountain and sunrise
V13,From the Vault: Twenty,Numeral 20 in a circle
V14,From the Vault: Annihilation,Stylized bomb or fractured orb
V15,From the Vault: Angels,Stylized angel wings
VIS,Visions,"Zhalfirin Triangle of War/stylized ""V"""
WTH,Weatherlight,"The Thran Tome, an open book"
WWK,Worldwake,A hedron opening
ZEN,Zendikar,A hedron
